종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
105630,"22,050","14,450",+5.84,+16.42,+16.74,+40.40,"40,000,000","8,340",봉제의복 제조업,500,20000000000
114810,"10,200","6,400",-0.92,-4.67,+3.63,+24.20,"29,352,174","2,515",특수 목적용 기계 제조업,500,14676087000
213500,"14,350","9,980",-4.50,-1.96,-11.45,-28.46,"23,800,576","2,375","펄프, 종이 및 판지 제조업",5000,119002880000
226440,"1,530","1,530",+0.00,+0.00,+0.00,+0.00,"65,739,186","1,006",특수 목적용 기계 제조업,100,6573918600
430690,"28,650","17,500",-,-,-,-,"5,447,675","1,204",소프트웨어 개발 및 공급업,500,2723837500
300720,"13,350","10,600",+1.00,+3.76,-1.86,+7.35,"69,261,540","8,401","시멘트, 석회, 플라스터 및 그 제품 제조업",500,34630770000
123840,629,311,+8.59,-1.67,-22.03,-41.49,"101,396,624",359,특수 목적용 기계 제조업,100,10139662400
130660,"10,250","6,950",-6.73,-2.08,-10.96,-13.14,"32,600,000","2,305","건축기술, 엔지니어링 및 관련 기술 서비스업",500,16300000000
198940,"7,730","3,650",+6.44,+4.48,-24.00,-,"19,435,815",883,1차 비철금속 제조업,500,9717907500
107640,"21,550","9,900",-0.47,+2.27,+85.29,+57.50,"7,118,113","1,345",자동차 신품 부품 제조업,500,3559056500
180640,"52,500","35,600",+0.94,+0.94,+5.95,+5.95,"66,762,279","28,670",항공 여객 운송업,2500,168247612500
372910,"6,650","4,495",-0.21,-7.31,-8.40,-20.51,"27,674,406","1,298",의료용 기기 제조업,200,5534881200
452260,"2,375","1,005",-9.95,-20.51,-41.74,-,"193,859,610","2,069",종합 소매업,500,98382040000
451800,"5,410","4,510",-0.39,-2.84,-3.21,-,"70,600,000","3,622",부동산 임대 및 공급업,500,35300000000
272210,"17,450","10,400",-4.32,-20.68,-20.08,+5.29,"188,919,389","22,179",전자부품 제조업,5000,944596945000
386580,"2,330","2,035",-3.71,-4.82,-1.66,-1.66,"4,160,000",86,금융 지원 서비스업,100,416000000
430460,"2,155","1,985",-3.34,-3.57,-0.74,+0.00,"5,920,000",120,금융 지원 서비스업,100,592000000
455310,"2,000","1,980",-0.05,-,-,-,"5,060,000",101,금융 지원 서비스업,100,506000000
195870,"77,000","34,300",-16.90,-37.65,-2.40,+20.67,"17,000,000","7,939",전자부품 제조업,5000,85000000000
101530,"7,100","5,020",-6.67,-6.32,-12.50,-15.72,"29,116,822","1,467",기타 식품 제조업,500,14558411000
220180,"5,330","2,795",-6.83,-11.97,-16.69,-20.14,"19,408,000",542,소프트웨어 개발 및 공급업,500,9704000000
143210,"4,150","2,800",-4.31,+3.67,-1.58,+5.42,"21,868,038",680,자동차 신품 부품 제조업,500,10934019000
900270,456,216,-9.24,-7.30,-36.09,-29.18,"85,682,000",185,기타 금융업,무액면,426856016
214180,"14,730","11,650",-9.39,+0.31,+4.19,+0.62,"13,257,185","1,714",기타 정보 서비스업,500,6788592500
234340,"24,850","14,080",-10.32,-13.94,-21.91,-39.44,"9,453,000","1,331",기타 정보 서비스업,500,4726500000
170030,"9,610","5,930",-2.55,-11.92,-18.70,+15.66,"15,340,000","1,054",자동차 신품 부품 제조업,500,7670000000
