회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익
KTcs,372882,58850,2022,A,"416,146,080,400","224,569,291,252","24,326,774,606","23,777,866,394"
KTis,372873,58860,2022,B+,"396,208,069,290","199,203,706,481","19,544,619,038","19,862,606,504"
현대로템,302926,64350,2022,A,"4,823,869,784,000","3,332,399,192,000","147,486,669,000","103,880,637,000"
LG전자,401731,66570,2022,A,"55,156,141,000,000","32,664,144,000,000","3,550,972,000,000","2,539,811,000,000"
SK렌터카,201450,68400,2022,B+,"3,341,970,518,606","2,825,634,202,145","95,091,041,984","30,400,993,706"
현대백화점,428251,69960,2022,A,"12,069,249,655,000","5,702,018,783,000","320,928,734,000","246,711,565,000"
지역난방공사,159698,71320,2022,A+,"7,478,129,879,658","5,811,126,778,301","-403,893,693,760","-257,878,151,428"
롯데하이마트,158307,71840,2022,A,"2,464,219,074,235","1,168,922,511,871","-52,011,444,171","-557,697,012,049"
GS,500254,78930,2022,A,"33,922,242,000,000","17,434,432,000,000","5,005,127,000,000","4,621,024,000,000"
CJ CGV,303873,79160,2022,B+,"3,601,468,386,488","3,208,379,045,793","-76,765,794,985","-237,643,036,305"
현대리바트,300548,79430,2022,A,"854,159,330,447","415,626,223,927","-27,895,323,942","-65,968,450,334"
LIG넥스원,503668,79550,2022,A,"3,012,727,223,129","2,077,548,155,320","179,111,737,872","157,771,953,695"
휴비스,362238,79980,2022,B+,"793,759,627,507","412,487,679,943","-83,009,289,041","-102,207,246,216"
휠라홀딩스,195229,81660,2022,B+,"4,821,801,377,788","2,247,238,042,986","435,072,372,234","453,137,117,071"
HSD엔진,361008,82740,2022,B+,"956,230,294,638","734,604,466,698","-29,534,217,363","-38,668,626,357"
대상홀딩스,539274,84690,2022,B+,"4,015,327,448,810","2,460,226,574,943","143,809,242,039","118,845,988,072"
현대글로비스,360595,86280,2022,A,"13,877,784,500,296","6,998,172,212,338","1,798,516,596,130","1,597,421,189,524"
노루페인트,583442,90350,2022,A,"668,177,302,153","315,503,885,865","26,100,359,244","17,779,741,850"
아모레퍼시픽,583424,90430,2022,A,"5,801,783,178,159","1,022,508,074,100","214,233,255,761","224,493,769,169"
CJ제일제당,635134,97950,2022,A,"30,013,241,845,000","18,484,219,204,000","1,664,708,210,000","1,245,523,117,000"
