,corp_name,esg,fin_state,corp_code,stock_code,year
328,대원제약,B,"335,214,009,972",00111999,003220,2020
329,한진중공업홀딩스,B,"1,837,185,000,000",00163673,003480,2020
330,신흥,B,"146,176,717,946",00173795,004080,2020
331,현대약품,B,"157,501,805,798",00164706,004310,2020
332,세방,B,"1,164,648,377,717",00133812,004360,2020
333,삼일씨엔에스,B,"326,398,475,744",00109806,004440,2020
334,삼화왕관,B,"246,083,352,025",00129235,004450,2020
335,세방전지,B,"1,514,339,388,641",00133858,004490,2020
336,깨끗한나라,B,"563,050,290,343",00113492,004540,2020
337,동일산업,B,"417,500,512,224",00172936,004890,2020
338,조광페인트,B,"349,970,175,149",00148920,004910,2020
339,코스모신소재,B,"362,322,681,514",00129989,005070,2020
340,한창,B,"117,760,361,319",00163716,005110,2020
341,국동,B,"180,700,681,914",00168331,005320,2020
342,모나미,B,"195,681,830,769",00121288,005360,2020
343,코스모화학,B,"668,524,454,552",00160302,005420,2020
344,한국공항,B,"425,353,643,316",00156691,005430,2020
345,삼진제약,B,"269,033,497,761",00128412,005500,2020
346,삼영전자공업,B,"513,873,621,850",00127200,005680,2020
347,파미셀,B,"68,324,986,471",00145163,005690,2020
348,크라운해태홀딩스,B,"1,093,370,177,549",00153126,005740,2020
349,풍산홀딩스,B,"975,300,449,801",00155531,005810,2020
350,원림,B,"177,323,381,954",00143794,005820,2020
351,휴니드테크놀러지스,B,"247,895,607,841",00111421,005870,2020
352,대한해운,B,"3,345,588,771,234",00113535,005880,2020
353,이수화학,B,"969,058,837,583",00145552,005950,2020
354,동원산업,B,"6,069,215,482,012",00118026,006040,2020
355,삼아알미늄,B,"207,542,630,255",00126779,006110,2020
356,한국전자홀딩스,B,"412,243,672,684",00159254,006200,2020
357,대구백화점,B,"508,655,892,815",00108977,006370,2020
358,카프로,B,"312,112,377,036",00159810,006380,2020
359,대한유화,B,"2,127,550,340,179",00260383,006650,2020
360,영풍제지,B,"202,117,557,861",00141404,006740,2020
361,벽산,B,"464,447,679,592",00122898,007210,2020
362,한국특강,B,"352,334,774,768",00124090,007280,2020
363,샘표,B,"381,155,550,117",00130091,007540,2020
364,국도화학,B,"930,557,566,476",00104388,007690,2020
365,코리아써키트,B,"921,746,308,017",00152686,007810,2020
366,태평양물산,B,"675,981,152,946",00154329,007980,2020
367,사조동아원,B,"446,436,770,794",00137252,008040,2020
368,서흥,B,"765,989,775,630",00131692,008490,2020
369,율촌화학,B,"613,344,958,708",00145260,008730,2020
370,케이씨티시,B,"441,446,350,623",00103042,009070,2020
371,SIMPAC,B,"737,277,692,318",00138260,009160,2020
372,신원,B,"405,804,841,335",00136864,009270,2020
373,광동제약,B,"830,643,378,837",00103592,009290,2020
374,참엔지니어링,B,"750,575,298,187",00153621,009310,2020
375,한올바이오파마,B,"220,132,430,899",00162586,009420,2020
376,KC그린홀딩스,B,"776,133,685,180",00159971,009440,2020
377,모토닉,B,"442,437,586,413",00151128,009680,2020
378,한국내화,B,"202,829,020,034",00160205,010040,2020
379,고려아연,B,"8,499,645,577,650",00102858,010130,2020
380,웰바이오텍,B,"70,920,911,784",00141273,010600,2020
381,평화홀딩스,B,"522,333,834,167",00155124,010770,2020
382,에넥스,B,"112,937,632,263",00139764,011090,2020
383,CJ씨푸드,B,"135,332,381,683",00129013,011150,2020
384,유니켐,B,"285,803,950,387",00137207,011330,2020
385,STX,B,"650,840,000,000",00138297,011810,2020
386,신성이엔지,B,"423,441,771,144",00136271,011930,2020
387,DB,B,"472,491,491,069",00163345,012030,2020
388,영흥,B,"337,720,310,929",00141477,012160,2020
389,더존비즈온,B,"804,070,786,659",00172291,012510,2020
390,모나리자,B,"91,311,098,533",00173102,012690,2020
391,일성건설,B,"298,510,507,954",00146232,013360,2020
392,디와이,B,"795,605,264,678",00117179,013570,2020
393,영보화학,B,"174,719,741,281",00140779,014440,2020
394,극동유화,B,"292,655,447,721",00105156,014530,2020
395,사조씨푸드,B,"311,639,371,380",00124780,014710,2020
396,동원시스템즈,B,"1,255,817,451,246",00132637,014820,2020
