corp_name,esg,fin_state,corp_code,stock_code
유니온,B,"354,433,760,157",00144252,000910
페이퍼코리아,B,"508,899,950,809",00134723,001020
JW중외제약,B,"549,085,028,575",00149947,001060
대한제분,B,"1,084,880,807,803",00113243,001130
금호전기,B,"67,783,031,106",00106395,001210
백광산업,B,"322,745,474,988",00122472,001340
BYC,B,"679,134,863,796",00122579,001460
대한제당,B,"1,146,241,857,000",00113234,001790
KISCO홀딩스,B,"1,564,589,806,575",00159740,001940
코오롱,B,"3,708,134,498,932",00152862,002020
경농,B,"371,525,656,350",00101433,002100
삼양통상,B,"422,110,653,043",00127042,002170
한국수출포장공업,B,"309,083,508,720",00158112,002200
아세아제지,B,"882,326,924,993",00138729,002310
SH에너지화학,B,"117,356,594,102",00136457,002360
화성산업,B,"580,483,863,943",00174527,002460
제일파마홀딩스,B,"887,395,067,308",00148443,002620
TCC스틸,B,"306,758,931,554",00117300,002710
국제약품,B,"145,625,551,890",00104722,002720
삼영무역,B,"533,231,525,031",00127167,002810
한국쉘석유,B,"148,607,730,718",00158149,002960
혜인,B,"207,882,894,058",00165343,003010
코오롱글로벌,B,"2,469,880,906,724",00152880,003070
성보화학,B,"159,209,819,595",00132725,003080
대웅,B,"1,833,668,773,483",00111810,003090
디아이,B,"228,890,877,783",00118275,003160
대원제약,B,"335,214,009,972",00111999,003220
한진중공업홀딩스,B,"1,837,185,000,000",00163673,003480
신흥,B,"146,176,717,946",00173795,004080
현대약품,B,"157,501,805,798",00164706,004310
세방,B,"1,164,648,377,717",00133812,004360
삼일씨엔에스,B,"326,398,475,744",00109806,004440
삼화왕관,B,"246,083,352,025",00129235,004450
세방전지,B,"1,514,339,388,641",00133858,004490
깨끗한나라,B,"563,050,290,343",00113492,004540
동일산업,B,"417,500,512,224",00172936,004890
조광페인트,B,"349,970,175,149",00148920,004910
코스모신소재,B,"362,322,681,514",00129989,005070
한창,B,"117,760,361,319",00163716,005110
국동,B,"180,700,681,914",00168331,005320
모나미,B,"195,681,830,769",00121288,005360
코스모화학,B,"668,524,454,552",00160302,005420
한국공항,B,"425,353,643,316",00156691,005430
삼진제약,B,"269,033,497,761",00128412,005500
삼영전자공업,B,"513,873,621,850",00127200,005680
파미셀,B,"68,324,986,471",00145163,005690
크라운해태홀딩스,B,"1,093,370,177,549",00153126,005740
풍산홀딩스,B,"975,300,449,801",00155531,005810
원림,B,"177,323,381,954",00143794,005820
휴니드테크놀러지스,B,"247,895,607,841",00111421,005870
대한해운,B,"3,345,588,771,234",00113535,005880
이수화학,B,"969,058,837,583",00145552,005950
동원산업,B,"6,069,215,482,012",00118026,006040
삼아알미늄,B,"207,542,630,255",00126779,006110
한국전자홀딩스,B,"412,243,672,684",00159254,006200
대구백화점,B,"508,655,892,815",00108977,006370
카프로,B,"312,112,377,036",00159810,006380
대한유화,B,"2,127,550,340,179",00260383,006650
영풍제지,B,"202,117,557,861",00141404,006740
벽산,B,"464,447,679,592",00122898,007210
한국특강,B,"352,334,774,768",00124090,007280
샘표,B,"381,155,550,117",00130091,007540
국도화학,B,"930,557,566,476",00104388,007690
코리아써키트,B,"921,746,308,017",00152686,007810
태평양물산,B,"675,981,152,946",00154329,007980
사조동아원,B,"446,436,770,794",00137252,008040
서흥,B,"765,989,775,630",00131692,008490
율촌화학,B,"613,344,958,708",00145260,008730
케이씨티시,B,"441,446,350,623",00103042,009070
SIMPAC,B,"737,277,692,318",00138260,009160
신원,B,"405,804,841,335",00136864,009270
광동제약,B,"830,643,378,837",00103592,009290
참엔지니어링,B,"750,575,298,187",00153621,009310
한올바이오파마,B,"220,132,430,899",00162586,009420
KC그린홀딩스,B,"776,133,685,180",00159971,009440
모토닉,B,"442,437,586,413",00151128,009680
한국내화,B,"202,829,020,034",00160205,010040
고려아연,B,"8,499,645,577,650",00102858,010130
웰바이오텍,B,"70,920,911,784",00141273,010600
평화홀딩스,B,"522,333,834,167",00155124,010770
에넥스,B,"112,937,632,263",00139764,011090
CJ씨푸드,B,"135,332,381,683",00129013,011150
유니켐,B,"285,803,950,387",00137207,011330
STX,B,"650,840,000,000",00138297,011810
신성이엔지,B,"423,441,771,144",00136271,011930
DB,B,"472,491,491,069",00163345,012030
영흥,B,"337,720,310,929",00141477,012160
더존비즈온,B,"804,070,786,659",00172291,012510
모나리자,B,"91,311,098,533",00173102,012690
일성건설,B,"298,510,507,954",00146232,013360
디와이,B,"795,605,264,678",00117179,013570
영보화학,B,"174,719,741,281",00140779,014440
극동유화,B,"292,655,447,721",00105156,014530
사조씨푸드,B,"311,639,371,380",00124780,014710
동원시스템즈,B,"1,255,817,451,246",00132637,014820
대창단조,B,"247,240,845,931",00112679,015230
태경산업,B,"541,292,144,059",00153339,015890
대현,B,"252,923,294,206",00113614,016090
한세예스24홀딩스,B,"1,840,012,735,335",00161976,016450
환인제약,B,"329,559,588,261",00166573,016580
대성홀딩스,B,"1,181,125,454,544",00108940,016710
두올,B,"405,736,362,822",00119672,016740
퍼시스,B,"498,942,806,587",00161709,016800
웅진,B,"1,087,018,285,071",00143651,016880
명문제약,B,"243,025,042,909",00121039,017180
우신시스템,B,"324,516,701,631",00142883,017370
광전자,B,"243,369,782,680",00152729,017900
조일알미늄,B,"274,904,169,512",00149239,018470
신풍제약,B,"492,915,057,237",00137359,019170
티에이치엔,B,"279,629,755,572",00118965,019180
키다리스튜디오,B,"48,155,283,189",00140131,020120
일진디스플,B,"113,893,785,695",00198697,020760
서원,B,"225,954,131,352",00131197,021050
MH에탄올,B,"449,679,365,546",00121534,023150
한국종합기술,B,"332,119,486,789",00159500,023350
대원화성,B,"129,796,348,783",00112022,024890
에스제이엠홀딩스,B,"308,348,207,824",00181943,025530
이구산업,B,"271,665,261,199",00145464,025820
남해화학,B,"589,444,547,288",00107987,025860
세하,B,"189,544,428,072",00133706,027970
케이씨,B,"873,398,777,467",00209780,029460
롯데관광개발,B,"1,198,450,486,219",00231372,032350
유나이티드,B,"353,433,062,527",00158963,033270
세종공업,B,"1,158,750,683,420",00134510,033530
무학,B,"598,757,759,430",00121543,033920
SBS,B,"1,169,090,150,715",00130772,034120
상신브레이크,B,"440,014,845,389",00129642,041650
유니온머티리얼,B,"184,455,804,956",00369833,047400
우진플라임,B,"267,621,933,339",00303217,049800
한전KPS,B,"1,349,869,091,450",00159218,051600
다스코,B,"249,543,946,307",00353878,058730
SNT모티브,B,"1,092,927,846,387",00398792,064960
대호에이엘,B,"101,175,472,248",00428729,069460
하이스틸,B,"239,658,334,649",00435312,071090
코아스,B,"73,236,024,489",00210856,071950
STX중공업,B,"467,363,345,753",00406046,071970
유니퀘스트,B,"379,977,750,281",00414601,077500
그린케미칼,B,"176,839,792,647",00454946,083420
대한제강,B,"944,860,967,703",00113225,084010
동양고속,B,"167,885,900,251",00540641,084670
티비에이치글로벌,B,"175,534,400,772",00409672,084870
평화산업,B,"203,154,749,775",00573579,090080
티웨이항공,B,"705,789,065,275",00671376,091810
KEC,B,"368,345,953,226",00589127,092220
KPX홀딩스,B,"1,698,659,220,590",00587466,092230
동양피스톤,B,"346,056,812,079",00117726,092780
LF,B,"2,479,439,883,815",00593032,093050
AJ네트웍스,B,"1,588,170,350,000",00365387,095570
JW홀딩스,B,"1,113,573,849,001",00632304,096760
비상교육,B,"263,230,581,094",00520887,100220
SNT에너지,B,"335,351,656,753",00648721,100840
해태제과식품,B,"621,172,370,379",00428321,101530
이연제약,B,"317,609,837,018",00145598,102460
한국철강,B,"868,775,457,581",00687711,104700
