corp_code,영업이익,year
101628,"31,895,306,272",2022
133335,"-11,487,135,610",2022
126089,"22,205,091,521",2022
141307,"68,871,997,441",2022
104698,"8,016,374,672",2022
145686,"-884,105,121",2022
123541,"61,880,701",2022
147222,"-35,045,943,284",2022
159573,"13,990,246,944",2022
112970,"-3,886,402,441",2022
120872,"209,474,421",2022
107066,"11,115,819,532",2022
126414,"-13,961,176,993",2022
152039,"-1,441,946,513",2022
101220,"501,083,594,243",2022
154055,"-525,103,179",2022
125974,"-62,976,130,833",2022
117337,"7,924,864,990",2022
118345,"44,754,402,506",2022
148948,"11,907,297,397",2022
148461,"5,129,135,206",2022
106119,"13,208,163,913",2022
114765,"-965,285,127",2022
117027,"34,572,726,220",2022
129350,"30,515,172,659",2022
102751,"4,425,326,213",2022
116268,"-3,096,985,196",2022
163196,"4,031,740,572",2022
122694,"-12,326,103,597",2022
133618,"-789,291,696",2022
127857,"11,556,311,058",2022
149345,"14,975,758,634",2022
141626,"-3,780,753,830",2022
118451,"2,456,929,950",2022
173698,"2,828,953,931",2022
123107,"3,282,891,685",2022
150828,"50,682,532,747",2022
121932,"77,015,585,495",2022
149804,"-32,020,704,813",2022
174004,"6,726,401,302",2022
106313,"55,946,616,129",2022
123718,"-230,635,598",2022
146214,"1,297,259,736",2022
160621,"4,318,000,672",2022
154426,"-32,175,585,561",2022
122348,"2,149,732,669",2022
122056,"44,004,543,908",2022
161860,"7,064,285,768",2022
133511,"7,202,639,035",2022
115287,"27,567,777,416",2022
108038,"23,483,130,052",2022
172185,"2,539,944,499",2022
134963,"185,116,000,000",2022
148939,"507,523,554",2022
135050,"7,472,363,774",2022
138057,"1,685,945,860",2022
114093,"5,248,384,446",2022
109514,"-1,863,121,812",2022
127158,"588,292,963",2022
162063,"39,442,102,751",2022
135962,"14,467,242,991",2022
156488,"289,220,357,862",2022
124151,"-6,463,260,656",2022
136341,"139,903,882,685",2022
109754,"1,454,990,634",2022
136624,"6,613,866,012",2022
115612,"41,253,381,219",2022
141875,"10,201,022,922",2022
260392,"1,346,085,446",2022
122825,"-1,387,901,650",2022
109824,"6,951,768,177",2022
126201,"8,737,465,177",2022
136402,"8,574,416,656",2022
109161,"10,400,584,716",2022
146296,"3,899,804,285",2022
104786,"3,105,522,387",2022
146454,"40,407,538,272",2022
115384,"9,337,231,210",2022
131939,"-16,906,468,362",2022
157104,"2,203,821,596",2022
145446,"19,324,775,021",2022
107224,"-2,490,017,943",2022
121570,"3,006,102,380",2022
146542,"-8,745,691,572",2022
104999,"193,461,668",2022
138516,"15,981,588",2022
168401,"-6,480,775",2022
117629,"7,738,462,210",2022
102140,"110,384,573",2022
111111,"13,712,413,226",2022
111689,"-5,760,515,771",2022
163761,"1,285,737,605",2022
129271,"13,648,212,242",2022
128227,"4,665,535,399",2022
143262,"-5,607,320,231",2022
160375,"3,288,372,484",2022
166500,"1,282,311,469",2022
148522,"3,112,927,906",2022
128980,"4,469,401,497",2022
118521,"-40,083,888,917",2022
129280,"-4,295,416,659",2022
153524,"30,895,370,651",2022
124027,"5,259,376,581",2022
129554,"4,174,665,075",2022
160861,"4,544,911,205",2022
162072,"-4,095,859,475",2022
145437,"-8,969,913,874",2022
141413,"-1,121,315,071",2022
102113,"28,060,459,106",2022
112651,"9,088,699,355",2022
102432,"132,836,469,827",2022
129420,"-15,897,800,139",2022
156354,"11,123,016,383",2022
150633,"65,560,502,229",2022
129509,"19,863,296,336",2022
111458,"11,909,475,247",2022
105299,"33,939,447,578",2022
122481,"31,945,997,236",2022
132628,"2,467,546,877",2022
106881,"-13,021,781,567",2022
134565,"-3,170,883,298",2022
143314,"-10,679,035,041",2022
108746,"12,936,915,150",2022
146649,"44,921,597,875",2022
135777,"50,861,766,330",2022
103662,"4,635,070,783",2022
135111,"22,598,864,801",2022
118008,"11,747,797,604",2022
138792,"598,763,774,896",2022
134316,"-10,941,609,997",2022
191588,"16,532,526,342",2022
115065,"13,461,074,816",2022
103510,"17,050,734,417",2022
180795,"20,813,756,713",2022
121969,"7,784,423,400",2022
142865,"744,304,211",2022
177199,"24,501,431,525",2022
114154,"30,682,700,016",2022
191472,"46,513,085,397",2022
157070,"64,257,366,734",2022
197759,"8,004,566,211",2022
136776,"-10,667,657,649",2022
123781,"5,922,305,967",2022
144395,"39,175,078,067",2022
204208,"-6,965,206,428",2022
178754,"-30,570,127,039",2022
135795,"-2,209,596,552",2022
118044,"5,800,643,290",2022
273615,"-9,626,618,095",2022
186559,"15,878,066,941",2022
218575,"46,505,927,767",2022
193009,"-21,353,184,786",2022
146861,"-11,740,371,040",2022
125576,"-7,470,398,830",2022
145862,"8,050,415,265",2022
122551,"50,295,977,243",2022
249247,"10,336,906,899",2022
161383,"111,859,422,080",2022
269241,"-6,294,304,449",2022
347734,"-1,055,629,006",2022
422895,"9,219,026,026",2022
423690,"-900,934,263",2022
427483,"95,797,148,532",2022
357360,"-21,130,809,388",2022
151298,"26,367,413,746",2022
365989,"1,552,325,492",2022
416654,"845,798,193",2022
469799,"-13,174,840,671",2022
305668,"-3,096,423,313",2022
415628,"24,899,662,472",2022
361488,"2,855,339,110",2022
508274,"3,272,205,622",2022
540605,"14,610,430,386",2022
172228,"870,341,567",2022
557933,"6,093,797,742",2022
442835,"-2,047,208,320",2022
585219,"1,818,195,585",2022
112165,"31,286,785,173",2022
106614,"9,642,345,481",2022
441243,"3,940,036,180",2022
646732,"5,231,538,199",2022
652423,"-6,033,395,547",2022
681142,"642,206,648",2022
683469,"31,490,877,242",2022
706715,"22,840,986,830",2022
226316,"40,584,324,713",2022
561866,"2,304,046,491",2022
797364,"3,629,851,717",2022
796994,"9,435,412,968",2022
828789,"48,301,486,163",2022
855163,"18,983,200,277",2022
852087,"40,885,780",2022
415646,"96,666,082,963",2022
332927,"81,475,323,113",2022
105606,"9,292,103,935",2022
816544,"-7,258,250,448",2022
1234297,"80,853,449,953",2022
1236897,"-13,504,334,090",2022
1262458,"22,378,404,384",2022
651901,"-81,307,511,001",2022
128546,"12,224,651,499",2022
130383,"19,185,280,991",2022
117276,"-9,502,488,683",2022
137915,"2,009,033,348",2022
141246,"33,204,579,097",2022
105466,"-1,091,838,620",2022
184667,"54,719,955,238",2022
173032,"72,435,427,545",2022
197476,"48,363,480,084",2022
158219,"8,884,748,083",2022
155948,"101,677,130,510",2022
227333,"-6,714,005,791",2022
264547,"106,512,396,728",2022
301246,"62,881,247,628",2022
141389,"11,969,856,632",2022
265041,"21,877,282,357",2022
246417,"92,798,680,886",2022
263654,"-28,638,371,344",2022
230425,"4,380,965,003",2022
405278,"40,290,909,338",2022
313649,"-26,354,165,991",2022
369657,"136,634,729,982",2022
375931,"33,230,165,818",2022
523307,"-159,266,398,763",2022
541349,"38,169,582,298",2022
525679,"-47,076,070,730",2022
114808,"72,653,921,441",2022
580199,"46,664,445,394",2022
556907,"-20,058,514,812",2022
181299,"12,905,637,676",2022
545734,"-4,899,462,026",2022
545929,"-33,679,063,951",2022
411048,"16,012,815,858",2022
530185,"64,645,433,271",2022
693554,"480,800,306",2022
623661,"88,797,905,994",2022
808022,"-23,331,280,109",2022
842619,"-50,375,099,038",2022
838005,"44,398,388,581",2022
989619,"-29,373,680,278",2022
1074862,"135,389,636,306",2022
1078178,"802,971,835",2022
1090471,"7,811,543,178",2022
1029394,"56,589,658,372",2022
1336373,"-37,193,012,232",2022
1182444,"-66,892,079,696",2022
1181515,"9,483,841,990",2022
104519,"-14,020,928,187",2022
107677,"5,712,710,660",2022
167208,"29,679,321,670",2022
150439,"5,285,312,534",2022
132868,"-1,517,005,402",2022
134176,"1,558,551,419",2022
159564,"-517,656,122",2022
480950,"-12,839,603,028",2022
458234,"10,236,752,051",2022
110750,"-17,269,386,147",2022
161781,"115,222,889,272",2022
306162,"64,850,625,855",2022
788773,"196,492,262,649",2022
1061558,"44,866,531,676",2022
536523,"1,794,247,604",2022
106641,"5,065,685,000,000",2021
138279,"2,140,942,000,000",2021
155355,"38,513,882,668",2021
190321,"1,671,824,000,000",2021
181712,"4,859,760,000,000",2021
266961,"1,325,478,171,117",2021
124504,"585,385,807,000",2021
631518,"1,741,672,570,000",2021
113410,"343,880,765,667",2021
117212,"921,057,400,974",2021
109693,"193,162,085,397",2021
146083,"-82,843,702,401",2021
160047,"228,305,200,484",2021
113508,"26,659,685,696",2021
116824,"61,564,188,030",2021
164779,"12,410,340,000,000",2021
164478,"753,504,000,000",2021
160588,"2,927,888,000,000",2021
160843,"399,106,778,303",2021
148540,"1,881,800,099,000",2021
120076,"656,217,086,586",2021
113207,"39,462,123,000",2021
121941,"153,245,195,127",2021
131780,"121,978,000,000",2021
117577,"315,697,398,867",2021
163512,"99,432,891,702",2021
161046,"28,006,350,245",2021
154462,"356,171,273,550",2021
117230,"35,264,240,176",2021
126955,"65,363,413,971",2021
138224,"248,732,059,385",2021
113526,"1,417,968,632,826",2021
120021,"2,460,104,000,000",2021
157681,"244,513,587,616",2021
145880,"2,447,503,013,134",2021
171636,"18,378,267,000",2021
136378,"517,400,647,833",2021
125743,"89,655,269,568",2021
157399,"-4,255,870,192",2021
117188,"638,142,530,054",2021
120562,"216,401,073,913",2021
124726,"26,243,919,355",2021
120571,"182,218,380,367",2021
164742,"6,678,949,000,000",2021
131832,"74,366,472,698",2021
105952,"575,315,000,000",2021
120030,"646,485,539,335",2021
126362,"1,067,575,600,497",2021
140177,"219,542,226,098",2021
141529,"166,575,352,719",2021
109189,"67,199,543,366",2021
165680,"118,811,528,171",2021
161426,"58,852,290,702",2021
126371,"1,486,872,833,804",2021
136086,"29,809,655,104",2021
161693,"69,264,260,432",2021
119007,"29,386,707,735",2021
162461,"738,347,655,292",2021
140964,"570,492,659,317",2021
148896,"625,984,935,000",2021
105855,"155,131,916,609",2021
103626,"4,551,324,744",2021
164609,"-217,325,424,000",2021
105961,"1,264,223,240,881",2021
165413,"1,535,640,888,894",2021
164645,"7,377,522,000,000",2021
106623,"102,725,000,000",2021
164812,"35,069,901,698",2021
139889,"401,454,319,026",2021
164788,"2,040,112,000,000",2021
126566,"277,093,289,882",2021
158501,"179,664,944,147",2021
140955,"197,684,583,161",2021
159023,"1,387,162,000,000",2021
164724,"129,001,779,541",2021
139454,"24,385,008,253",2021
126186,"808,097,771,607",2021
144164,"105,462,364,518",2021
188089,"152,192,853,992",2021
170558,"640,219,263,049",2021
120526,"207,602,693,266",2021
203582,"8,619,101,420",2021
219097,"37,907,480,279",2021
126308,"503,288,807,347",2021
149655,"1,195,982,736,408",2021
234412,"91,971,396,487",2021
274933,"29,951,558,474",2021
231363,"979,014,000,000",2021
244455,"1,338,383,479,632",2021
255619,"-52,695,285,784",2021
258801,"594,916,913,035",2021
261443,"375,213,171,049",2021
260408,"36,128,221,585",2021
220561,"60,594,383,832",2021
160232,"58,089,120,996",2021
124540,"738,313,485,108",2021
309503,"58,259,436,460",2021
356370,"1,289,630,423,605",2021
349097,"73,018,655,032",2021
413523,"19,637,903,345",2021
412597,"140,099,443,516",2021
372882,"21,037,346,745",2021
372873,"14,405,202,066",2021
302926,"80,217,965,000",2021
401731,"4,057,997,000,000",2021
201450,"79,052,712,765",2021
428251,"264,365,188,000",2021
159698,"39,686,157,248",2021
158307,"106,834,726,260",2021
500254,"2,651,346,000,000",2021
303873,"-241,445,734,017",2021
300548,"20,240,762,169",2021
503668,"97,201,006,836",2021
362238,"6,490,560,612",2021
195229,"492,851,154,169",2021
361008,"-39,778,154,646",2021
539274,"163,034,063,085",2021
360595,"1,126,245,705,403",2021
583442,"25,525,165,411",2021
583424,"343,357,809,050",2021
635134,"1,524,429,392,000",2021
759513,"70,452,000,000",2021
