corp_code,부채총계,year,영업이익,법인세차감전 순이익
939331,"1,463,836,379,752",2022,"73,280,441,382","16,973,794,860"
939687,"163,224,624,863",2022,"8,078,839,374","7,810,959,621"
983271,"1,032,762,862,400",2022,"39,053,530,657","1,521,608,996"
990165,"1,061,327,445,519",2022,"117,970,811,813","82,912,383,689"
101664,"96,840,886,918",2022,"1,392,651,796","-614,836,349"
911955,"30,243,344,892",2022,"4,808,880,833","10,436,282,612"
1108099,"71,951,244,118",2022,"14,277,070,571","34,875,099,786"
1032486,"4,223,998,511,000",2022,"1,071,606,774,000","886,277,487,000"
1128613,"884,648,845,256",2022,"52,800,968,970","6,493,936,191"
904672,"3,313,765,261,202",2022,"-108,688,598,689","-941,473,679,190"
653024,"662,850,263,536",2022,"-67,279,707,925","-90,190,923,390"
1060814,"281,487,000,000",2022,"23,696,000,000","20,350,000,000"
1319808,"885,820,287,173",2022,"117,984,446,512","116,031,468,481"
1325979,"636,127,562,772",2022,"215,165,657,893","211,145,517,673"
118804,"673,516,166,268",2022,"216,308,703,354","210,963,962,073"
158325,"139,446,697,557",2022,"71,616,495,095","74,705,266,693"
252135,"348,454,879,955",2022,"123,884,000,542","135,068,830,067"
223762,"158,930,776,532",2022,"13,820,761,140","19,263,831,293"
130763,"514,302,591,299",2022,"-33,437,894,990","-30,777,676,427"
298270,"85,667,243,409",2022,"26,987,237,453","16,542,117,754"
358271,"512,535,734,431",2022,"160,920,342,192","152,244,089,619"
398701,"1,738,602,594,287",2022,"266,321,029,961","340,535,961,422"
579980,"456,973,303,715",2022,"-16,157,288,816","-18,875,585,054"
536541,"2,824,001,949,335",2022,"613,226,487,106","306,616,814,981"
486097,"275,583,655,118",2022,"33,052,555,800","36,030,646,306"
447609,"429,340,136,571",2022,"131,267,542,314","164,456,373,822"
554024,"2,392,807,160,111",2022,"228,887,112,078","229,572,580,126"
579999,"86,511,583,085",2022,"44,258,682,098","50,419,495,591"
525934,"339,257,893,379",2022,"310,623,962,750","303,970,572,150"
857727,"608,732,162,785",2022,"46,819,347,142","3,763,249,792"
549891,"18,092,034,704",2022,"33,625,928,175","34,457,008,420"
1135941,"251,943,234,499",2022,"97,554,876,588","117,338,639,677"
1234507,"477,924,807,928",2022,"60,688,076,526","24,438,337,913"
119195,"82,463,208,091",2022,"29,915,077,882","23,085,548,187"
144818,"71,831,031,376",2022,"-592,113,629","-3,810,376,632"
111847,"412,406,943,010",2022,"22,056,715,849","11,612,336,520"
148984,"793,378,121,821",2022,"22,597,868,685","53,761,394,435"
128032,"230,880,901,101",2022,"4,016,581,828","1,058,097,387"
149026,"33,693,421,213",2022,"15,632,045,335","22,814,991,200"
151395,"28,229,905,515",2022,"-7,411,183,633","-5,937,544,466"
166519,"128,766,812,502",2022,"8,182,884,639","44,905,273,596"
100939,"278,945,532,072",2022,"4,405,118,561","-19,952,330,091"
144252,"201,552,927,080",2022,"2,897,590,739","-10,749,945,690"
134723,"440,215,219,986",2022,"25,843,738,569","1,711,163,918"
149947,"402,213,719,428",2022,"62,960,870,729","45,361,952,269"
113243,"399,078,814,703",2022,"43,274,283,090","55,132,475,147"
106395,"48,974,883,827",2022,"-11,787,966,654","-16,261,105,845"
122472,"193,923,293,147",2022,"27,878,061,132","24,356,045,399"
122579,"153,134,740,019",2022,"25,326,353,051","48,115,688,693"
113234,"681,747,544,000",2022,"38,051,122,000","34,383,267,000"
159740,"239,739,584,991",2022,"197,916,716,776","182,586,375,737"
152862,"3,322,537,563,034",2022,"310,967,816,142","256,632,640,481"
101433,"188,148,524,944",2022,"40,975,101,750","37,927,298,330"
127042,"40,424,121,033",2022,"16,445,205,668","20,015,230,734"
158112,"64,604,055,301",2022,"25,702,536,748","26,947,914,214"
138729,"230,662,239,691",2022,"109,447,038,390","121,519,996,836"
136457,"30,058,823,992",2022,"805,218,302","2,439,481,375"
174527,"389,175,292,526",2022,"14,545,076,827","29,474,012,146"
148443,"445,884,552,551",2022,"-7,547,961,141","-83,860,626,307"
117300,"298,677,336,481",2022,"43,983,210,872","35,652,981,738"
104722,"62,513,602,796",2022,"5,272,527,164","4,745,086,347"
127167,"112,174,817,744",2022,"19,352,102,542","57,476,265,429"
158149,"59,384,706,208",2022,"35,071,601,445","36,329,376,659"
165343,"132,475,114,237",2022,"2,682,218,552","3,028,732,162"
