회사명,corp_code,stock_code,연도,ESG,자산총계,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름,자산총계(t-1),매출액(t-1)
카카오,00258801,035720,2022,A,22963491575614.0,9431629284734.0,580315993061.0,1304363372795.0,6022351854665.0,1.9,1.7,66.66666666666666,24.19,3681.0,220.0,34005107130010.57,7106836860945.0,678376491408.0,22779558711233.0,6136669167665.0
엔씨소프트,00261443,036570,2022,A,4437632450781.0,1239083608249.0,559006120606.0,609050943296.0,43399092553.0,31.1,30.0,71.42857142857143,11.99,2243.0,400.0,9472268053081.3,2571792281800.0,736014155699.0,4581889369472.0,2308817408865.0
팜스코,00260408,036580,2022,B,1223174230326.0,945322533351.0,18799101788.0,-37585486981.0,1447649951.0,-5.3,113.8,15.789473684210526,56.58,419.0,2.0,199939605963.51627,1901506809713.0,-82145861904.0,1107610571454.0,1536856092415.0
광주신세계,00220561,037710,2022,B+,913454051041.0,123544314603.0,65584851127.0,76860199739.0,37913714177.0,30.74,25.82,50.0,62.50,170.0,0.0,274213008130.0813,184874000000.0,68461739719.0,852280199476.0,169972000000.0
KSS해운,00160232,044450,2022,B+,1659172643001.0,1252892414726.0,69511091603.0,46647231356.0,819320909.0,17.38,14.02,57.14285714285714,30.27,463.0,5.0,244129790159.3496,445375789707.0,112623502864.0,1446228922766.0,324001266815.0
대우건설,00124540,047040,2022,B+,11140353752210.0,7415736590714.0,760006514642.0,713497588646.0,69732719842.0,,,4.854368932038835,0.0,2375.0,2167.0,2301231586643.4146,10419213132139.0,-423144221731.0,10457976990591.0,8685207679669.0
한국항공우주,00309503,047810,2022,B,7772406693424.0,6319189867558.0,141617667318.0,122121929956.0,745840951492.0,20.6,30.5,8.571428571428571,26.41,1381.0,869.0,4546441073018.902,2786888282702.0,1492635299719.0,5855223992714.0,2562283675152.0
LG생활건강,00356370,051900,2022,A,7302929652203.0,1834093663954.0,711122934369.0,417769360752.0,2100587252176.0,28.4,23.8,57.14285714285714,34.03,3127.0,43.0,11887606529593.496,7185759184335.0,497299483100.0,7555239417717.0,8091511297961.0
케이티스카이라이프,00349097,053210,2022,A,1361298311421.0,503764190486.0,63195741120.0,33430748587.0,489822787164.0,74.5,27.7,29.411764705882355,50.00,379.0,0.0,416371861289.0244,1034236194565.0,176406899582.0,1275644844175.0,763222599361.0
한미글로벌,00413523,053690,2022,B+,373059659521.0,178412243082.0,30651133401.0,32693557928.0,34832523744.0,23.9,29.3,22.22222222222222,24.70,606.0,471.0,204960081892.27643,374414323849.0,21232660023.0,285254341255.0,270091694797.0
현대홈쇼핑,00412597,057050,2022,A,2782027992185.0,823288672056.0,110640961829.0,96757694526.0,105492327463.0,34.5,27.0,57.14285714285714,40.82,1022.0,26.0,651285365853.6586,2101667569062.0,-53908637489.0,2600338275866.0,2095383848823.0
KTcs,00372882,058850,2022,A,416146080400.0,224569291252.0,24326774606.0,23777866394.0,8496077597.0,25.2,21.1,18.75,30.31,273.0,1060.0,96767415548.78049,1029466970045.0,19708133315.0,416750372360.0,965721215198.0
KTis,00372873,058860,2022,B+,396208069290.0,199203706481.0,19544619038.0,19862606504.0,37913714177.0,23.1,13.0,18.75,29.32,242.0,891.0,88042693780.48781,535783305933.0,13313277678.0,369360805550.0,468004263986.0
현대로템,00302926,064350,2022,A,4823869784000.0,3332399192000.0,147486669000.0,103880637000.0,78604058.0,,,57.14285714285714,33.77,1699.0,310.0,2499358509700.0,3163343615000.0,716229388000.0,4107182672000.0,2872511952000.0
LG전자,00401731,066570,2022,A,55156141000000.0,32664144000000.0,3550972000000.0,2539811000000.0,37913714177.0,10.6,14.9,1.3559322033898304,33.67,1478.0,1360.0,16998018611978.049,83467318000000.0,3107839000000.0,53481478000000.0,73907984000000.0
SK렌터카,00201450,068400,2022,B+,3341970518606.0,2825634202145.0,95091041984.0,30400993706.0,24436737942.0,32.8,,15.789473684210526,72.95,572.0,80.0,421282235004.87805,1246513486761.0,-269410540010.0,2860204475518.0,1036879994810.0
현대백화점,00428251,069960,2022,A,12069249655000.0,5702018783000.0,320928734000.0,246711565000.0,1555415994.0,19.7,12.7,55.55555555555556,36.08,3142.0,0.0,1590728604444.3088,5014123629000.0,489391894000.0,8969196456000.0,3572433182000.0
