회사명,corp_code,stock_code,연도,ESG,자산총계,자산총계(t-1),매출액,매출액(t-1),부채총계,EBITDA,EBITDA(t-1),무형자산,현금 배당 성향,현금 배당 성향(t-1),사외이사 비율,최대주주지분율,영업활동 현금흐름,정규직 수,정규직 수(t-1),비정규직 수,비정규직 수(t-1)
LG유플러스,00231363,032640,2022,A,19774800000000.0,19370515000000.0,13905990000000.0,13851135000000.0,11325133000000.0,856812000000.0,905193000000.0,2341729.0,42.14,33.35,5.128205128205128,37.67,3504980000000.0,10263.0,9951.0,170.0,236.0
케이티앤지,00244455,033780,2022,A,12301715783797.0,11637271194200.0,5851406367817.0,5228351596536.0,2943135752405.0,1429519571832.0,1439553489358.0,167851437108.0,57.2,58.9,11.76470588235294,8.51,887886606991.0,437.0,405.0,312.0,199.0
강원랜드,00255619,035250,2022,A,4167752670696.0,3827273463677.0,1270685819109.0,788432829925.0,752374769957.0,167851826370.0,-14159218402.0,2761161108.0,61.4,,69.23076923076923,36.27,420172245612.0,2344.0,2290.0,953.0,268.0
카카오,00258801,035720,2022,A,22963491575614.0,22779558711233.0,7106836860945.0,6136669167665.0,9431629284734.0,1304363372795.0,2293693668438.0,6022351854665.0,1.9,1.7,66.66666666666666,24.19,678376491408.0,3681.0,3303.0,220.0,169.0
엔씨소프트,00261443,036570,2022,A,4437632450781.0,4581889369472.0,2571792281800.0,2308817408865.0,1239083608249.0,609050943296.0,491328032737.0,43399092553.0,31.1,30.0,71.42857142857143,11.99,736014155699.0,2243.0,2176.0,400.0,330.0
팜스코,00260408,036580,2022,B,1223174230326.0,1107610571454.0,1901506809713.0,1536856092415.0,945322533351.0,-37585486981.0,18808996315.0,1447649951.0,-5.3,113.8,15.789473684210526,56.58,-82145861904.0,419.0,385.0,2.0,4.0
광주신세계,00220561,037710,2022,B+,913454051041.0,852280199476.0,184874000000.0,169972000000.0,123544314603.0,76860199739.0,70742345220.0,37913714177.0,30.74,25.82,50.0,62.50,68461739719.0,170.0,169.0,0.0,0.0
KSS해운,00160232,044450,2022,B+,1659172643001.0,1446228922766.0,445375789707.0,324001266815.0,1252892414726.0,46647231356.0,57260015068.0,819320909.0,17.38,14.02,57.14285714285714,30.27,112623502864.0,463.0,395.0,5.0,2.0
대우건설,00124540,047040,2022,B+,11140353752210.0,10457976990591.0,10419213132139.0,8685207679669.0,7415736590714.0,713497588646.0,598393080997.0,69732719842.0,,,4.854368932038835,0.0,-423144221731.0,2375.0,2397.0,2167.0,1739.0
한국항공우주,00309503,047810,2022,B,7772406693424.0,5855223992714.0,2786888282702.0,2562283675152.0,6319189867558.0,122121929956.0,54405791113.0,745840951492.0,20.6,30.5,8.571428571428571,26.41,1492635299719.0,1381.0,1357.0,869.0,896.0
