회사명,corp_code,stock_code,연도,ESG,재무제표,부채총계,영업이익,법인세차감전 순이익,intangible,ratio,pre_ratio,out_exec,share_holder,정규직 수,비정규직 수,시가총액,매출액,현금흐름
삼성SDI,00126362,006400,2022,A,"30,257,525,171,127","13,040,023,014,999","1,808,013,013,202","2,652,275,388,730",814931162728.0,3.5,5.7,57.14285714285714,20.54,400.0,935.0,41356833244024.39,20124069515854,2641096163726.0
GS리테일,00140177,007070,2022,A,"9,832,423,124,845","5,412,417,744,683","245,131,973,064","75,063,718,353",255084775192.0,108.7,15.0,57.14285714285714,57.90,3413.0,1230.0,2825063923776.829,11226428523558,712510440356.0
오뚜기,00141529,007310,2022,C,"3,569,760,859,068","1,622,240,967,893","185,656,436,842","283,520,143,943",72349255656.0,11.27,21.02,33.33333333333333,50.01,3073.0,49.0,1690338716160.569,3183314853660,93291314126.0
대덕,00109189,008060,2022,B+,"1,903,351,069,081","419,083,389,342","196,865,725,672","187,799,491,185",31292732238.0,72.9,-453.4,16.666666666666664,43.37,13.0,0.0,235430463575.20325,1661906969216,5524446874
호텔신라,00165680,008770,2022,A,"2,938,544,987,435","2,398,761,037,870","78,346,330,937","-59,647,312,581",35308105036.0,-15.17,28.12,18.181818181818183,17.00,1642.0,431.0,2951442744679.268,4922008727369,220460436820.0
한미사이언스,00161426,008930,2022,B+,"1,109,690,934,182","384,942,964,397","67,626,014,492","73,179,718,929",19126765953.0,19.3,30.7,15.789473684210526,64.98,419.0,9.0,2827562285771.3413,1046054210838,9451693037.0
삼성전기,00126371,009150,2022,A,"10,997,170,898,641","3,303,686,219,356","1,182,835,924,271","1,186,828,087,730",150053392512.0,16.2,17.8,57.14285714285714,23.85,1549.0,830.0,10971319774048.78,9424551868027,1575355826731
무림페이퍼,00136086,009200,2022,B,"2,429,133,745,988","1,739,726,817,209","96,311,787,654","41,592,516,874",8588477863.0,13.7,,18.75,54.06,415.0,0.0,110867668207.92683,1399139266935,41882935462.0
한샘,00161693,009240,2022,A,"1,099,679,540,571","654,251,595,301","-21,690,245,389","-83,461,021,812",24265356719.0,,47.2,50.0,0.52,2174.0,41.0,1468584073661.7886,2000906065724,-21278605775.0
무림P&P,00119007,009580,2022,B+,"1,604,057,802,775","941,368,622,014","68,291,305,211","54,964,533,741",2071392165.0,20.8,41.9,16.666666666666664,66.97,693.0,3.0,278711616997.1545,774103601234,51495368399.0
한화솔루션,00162461,009830,2022,B,"23,831,697,412,977","13,934,785,853,643","966,247,380,110","569,238,863,544",37913714177.0,,,4.580152671755725,36.67,1794.0,194.0,7807894940956.098,13653948104906,115716723309.0
영원무역홀딩스,00140964,009970,2022,C,"5,490,219,711,184","1,503,556,312,790","1,002,198,707,249","1,083,402,103,654",183062884234.0,8.0,10.5,11.11111111111111,46.25,39.0,8.0,706390180682.9269,4533879205529,519228688003.0
OCI,00148896,010060,2022,A,"6,745,534,254,000","2,734,136,888,000","976,672,782,000","1,001,629,603,000",35921134.0,6.69,7.36,57.14285714285714,22.24,1691.0,90.0,2554122211106.0977,4671316051000,566649863000.0
엘에스일렉트릭,00105855,010120,2022,A,"3,322,804,977,898","1,773,513,972,232","187,524,016,869","126,966,694,511",86299342611.0,35.76,34.61,12.12121212121212,48.25,1349.0,139.0,1540682926829.2683,3377070215838,-145446470458.0
한솔피엔에스,00103626,010420,2022,B,"134,944,512,348","83,843,135,370","2,686,828,469","2,870,110,705",37913714177.0,27.2,14.8,25.0,46.07,262.0,1.0,37151498218.04878,314246057568,16724724090.0
현대미포조선,00164609,010620,2022,B+,"4,748,245,499,000","2,572,981,743,000","-109,066,121,000","-63,247,650,000",8876191.0,,,10.344827586206897,43.00,56.0,66.0,3496107076007.317,3716860942000,208406771000.0
LG이노텍,00105961,011070,2022,A,"9,793,617,826,430","5,527,824,867,091","1,271,751,532,028","1,135,062,357,037",204486013967.0,10.0,8.0,8.695652173913043,40.79,2354.0,4751.0,7950704835719.512,19589409483381,1514999766762.0
롯데케미칼,00165413,011170,2022,A,"26,784,587,810,580","9,520,345,523,797","-762,606,983,916","-392,619,240,018",877896301156.0,427.63,20.12,5.555555555555555,54.92,734.0,154.0,6411244990144.309,22276082763692,-167465442693.0
HMM,00164645,011200,2022,A,"25,973,455,000,000","5,285,543,000,000","9,951,555,000,000","10,183,729,000,000",44210.0,5.8,5.5,9.090909090909092,20.69,1677.0,108.0,12128577093886.18,18582770000000,11318868000000.0
현대위아,00106623,011210,2022,A,"7,546,451,000,000","3,812,800,000,000","212,115,000,000","86,063,000,000",109261.0,28.4,29.8,62.5,40.75,2833.0,84.0,1731060999700.2034,8207614000000,423981000000.0
현대코퍼레이션,00164812,011760,2022,B,"1,831,301,801,553","1,394,707,519,478","66,827,508,014","90,537,641,434",9750486134.0,9.16,19.1,14.285714285714285,24.31,213.0,11.0,224118043502.43903,6126968751169,386453058403.0
SKC,00139889,011790,2022,A,"6,393,092,564,908","4,151,241,803,700","220,255,942,998","159,297,081,484",1523593341383.0,-54.7,17.4,19.047619047619047,40.90,168.0,9.0,4928066388953.658,3138910077125,-147158687779.0
현대모비스,00164788,012330,2022,A,"55,406,698,000,000","17,599,066,000,000","2,026,531,000,000","3,362,612,000,000",965065.0,14.8,15.5,5.747126436781609,31.38,112.0,531.0,20259862241280.49,51906293000000,2154062000000.0
한화에어로스페이스,00126566,012450,2022,B+,"15,157,301,978,809","11,233,518,424,948","377,215,126,599","174,616,406,341",2120601843523.0,25.18,14.01,5.0,33.98,235.0,161.0,2987633079268.2925,6539605817572,1524327091276.0
에스원,00158501,012750,2022,B+,"2,075,658,595,502","552,669,332,935","204,138,904,290","200,760,270,160",405722224361.0,56.0,65.5,5.555555555555555,25.65,938.0,590.0,2470456315070.732,2467960276573,277448190365.0
한솔케미칼,00140955,014680,2022,B,"1,253,310,602,636","400,814,014,226","185,990,108,464","194,237,859,330",37913714177.0,13.7,15.8,18.75,15.02,558.0,94.0,2480057725548.7803,885470791861,173619763063.0
SK텔레콤,00159023,017670,2022,A,"31,308,262,000,000","19,153,066,000,000","1,612,070,000,000","1,236,152,000,000",3324910.0,79.3,29.8,62.5,30.02,929.0,270.0,11801155507856.91,17304973000000,5159317000000.0
현대엘리베이터,00164724,017800,2022,B,"3,014,471,063,421","1,847,719,039,348","43,016,096,622","110,105,864,213",92025543651.0,25.4,28.9,57.14285714285714,26.50,179.0,127.0,1281248575037.805,2129301101267,12288109953
애경산업,00139454,018250,2022,A,"482,639,615,354","123,665,920,018","39,038,794,156","22,750,105,839",17552690980.0,49.1,34.5,21.428571428571427,63.35,838.0,56.0,431716551282.5203,610410753107,33900025345.0
