corp_code,부채총계,year
163716,"90,132,832,628",2022
168331,"65,952,316,049",2022
121288,"111,823,225,016",2022
160302,"409,208,860,809",2022
156691,"81,818,613,944",2022
128412,"130,692,791,177",2022
127200,"17,579,609,175",2022
145163,"32,982,274,160",2022
153126,"635,811,691,855",2022
155531,"178,221,821,848",2022
143794,"26,002,568,470",2022
111421,"159,788,538,743",2022
113535,"2,706,138,104,863",2022
145552,"782,591,483,389",2022
118026,"4,152,704,107,718",2022
126779,"150,214,354,677",2022
159254,"123,768,339,272",2022
108977,"238,926,889,458",2022
159810,"275,602,853,303",2022
260383,"333,880,102,156",2022
141404,"67,139,875,786",2022
122898,"299,532,316,523",2022
124090,"348,575,828,632",2022
130091,"138,655,949,073",2022
104388,"640,905,700,204",2022
152686,"541,835,924,394",2022
154329,"519,858,775,950",2022
137252,"250,702,675,272",2022
131692,"456,694,418,262",2022
145260,"319,324,397,285",2022
103042,"371,680,925,896",2022
138260,"365,415,682,268",2022
136864,"284,616,541,652",2022
103592,"384,977,525,142",2022
153621,"653,553,594,852",2022
162586,"45,194,772,072",2022
159971,"534,872,842,836",2022
151128,"33,436,780,037",2022
160205,"105,655,719,304",2022
102858,"2,866,186,242,426",2022
141273,"22,410,292,079",2022
155124,"435,879,831,455",2022
139764,"83,739,059,135",2022
129013,"67,719,807,379",2022
137207,"295,710,101,541",2022
138297,"639,377,000,000",2022
136271,"366,385,474,629",2022
163345,"129,333,891,166",2022
141477,"337,528,199,498",2022
172291,"394,392,969,092",2022
173102,"20,179,158,794",2022
146232,"292,815,448,269",2022
117179,"356,698,974,017",2022
140779,"22,013,068,492",2022
105156,"147,759,136,082",2022
124780,"111,544,268,866",2022
132637,"722,040,384,353",2022
112679,"95,831,169,725",2022
153339,"204,202,010,453",2022
113614,"54,998,741,748",2022
161976,"1,205,446,231,945",2022
166573,"35,446,435,977",2022
108940,"786,541,938,665",2022
119672,"263,998,120,328",2022
161709,"71,851,940,711",2022
143651,"868,253,314,371",2022
121039,"135,182,358,858",2022
142883,"192,467,200,303",2022
152729,"20,234,706,018",2022
149239,"180,767,713,986",2022
137359,"30,777,770,605",2022
118965,"279,919,564,485",2022
140131,"104,145,178,065",2022
198697,"88,372,905,690",2022
131197,"129,996,555,577",2022
121534,"352,042,676,901",2022
159500,"183,900,047,649",2022
112022,"68,456,840,367",2022
181943,"65,018,743,060",2022
145464,"209,999,597,611",2022
107987,"380,906,101,431",2022
133706,"99,693,650,002",2022
209780,"213,860,828,781",2022
231372,"1,571,088,484,599",2022
158963,"80,034,380,202",2022
134510,"748,025,818,053",2022
121543,"125,178,899,253",2022
130772,"534,612,151,995",2022
129642,"346,007,238,334",2022
369833,"120,343,646,929",2022
303217,"182,460,324,751",2022
159218,"346,288,975,190",2022
353878,"202,891,749,126",2022
398792,"346,460,014,011",2022
428729,"81,391,435,646",2022
435312,"143,503,167,006",2022
210856,"58,375,881,363",2022
406046,"224,154,879,957",2022
414601,"262,882,234,237",2022
454946,"74,168,153,281",2022
113225,"422,049,932,807",2022
540641,"90,255,923,833",2022
409672,"52,145,159,202",2022
573579,"195,168,304,315",2022
671376,"983,093,107,924",2022
589127,"96,489,867,891",2022
587466,"448,980,401,917",2022
117726,"249,740,813,399",2022
593032,"927,192,269,932",2022
365387,"1,119,559,529,255",2022
632304,"824,316,934,495",2022
520887,"112,016,003,859",2022
648721,"174,341,588,445",2022
428321,"437,389,311,669",2022
145598,"236,926,485,584",2022
687711,"147,735,227,497",2022
728638,"702,124,695,430",2022
173944,"50,483,944,670",2022
753643,"18,158,116,569",2022
670340,"854,871,284,096",2022
787376,"520,696,425,282",2022
360142,"814,780,662,561",2022
823429,"21,500,163,750",2022
815369,"56,088,466,557",2022
151368,"178,721,965,121",2022
