corp_code,직원 수,연도
00177199,0.0,2022
00114154,168,2022
00191472,20,2022
00157070,84,2022
00197759,7,2022
00136776,0.0,2022
00123781,2.0,2022
00144395,11,2022
00204208,38.0,2022
00178754,28.0,2022
00135795,4,2022
00118044,86,2022
00273615,2.0,2022
00186559,84,2022
00218575,13.0,2022
00193009,1.0,2022
00146861,141,2022
00125576,0.0,2022
00145862,14,2022
00122551,0.0,2022
00249247,9,2022
00161383,6.0,2022
00269241,0.0,2022
00347734,0.0,2022
00422895,109,2022
00423690,95.0,2022
00427483,20,2022
00357360,14,2022
00151298,0.0,2022
00365989,25.0,2022
00416654,0.0,2022
00469799,3,2022
00305668,20,2022
00415628,62,2022
00361488,0.0,2022
00508274,0.0,2022
00540605,382,2022
00172228,370,2022
00557933,22,2022
00442835,0.0,2022
00585219,22,2022
00112165,700,2022
00106614,4.0,2022
00441243,16,2022
00646732,0.0,2022
00652423,0.0,2022
00681142,0.0,2022
00683469,37,2022
00706715,1.0,2022
00226316,6,2022
00561866,15.0,2022
00797364,34,2022
00796994,0.0,2022
00828789,69.0,2022
00855163,1,2022
00852087,0.0,2022
00415646,0.0,2022
00332927,1.0,2022
00105606,15.0,2022
00816544,0.0,2022
01234297,3.0,2022
01236897,30,2022
01262458,0.0,2022
00651901,37,2022
00128546,10,2022
00130383,266.0,2022
00117276,24.0,2022
00137915,42,2022
00141246,251,2022
00105466,309.0,2022
00184667,24,2022
00173032,13.0,2022
00197476,0.0,2022
00158219,0.0,2022
00155948,158,2022
00227333,117,2022
00264547,19,2022
00301246,0.0,2022
00141389,13.0,2022
00265041,8.0,2022
00246417,21,2022
00263654,0.0,2022
00230425,3,2022
00405278,16,2022
00313649,0.0,2022
00369657,20,2022
00375931,45.0,2022
00523307,143,2022
00541349,130,2022
00525679,35,2022
00114808,51,2022
00580199,90,2022
00556907,4,2022
00181299,29,2022
00545734,0.0,2022
00545929,2,2022
00411048,0.0,2022
00530185,39.0,2022
00693554,18,2022
00623661,9.0,2022
00808022,0.0,2022
00842619,4.0,2022
00838005,9,2022
00989619,0.0,2022
01074862,627,2022
01078178,0.0,2022
01090471,1.0,2022
01029394,0.0,2022
01336373,0.0,2022
01182444,0.0,2022
01181515,3.0,2022
00104519,1.0,2022
00107677,0.0,2022
00167208,190.0,2022
00150439,4,2022
00132868,0.0,2022
00134176,0.0,2022
00159564,7.0,2022
00480950,0.0,2022
00458234,15,2022
00110750,0.0,2022
00161781,14.0,2022
00306162,7.0,2022
00788773,39.0,2022
01061558,7,2022
00536523,0.0,2022
00106641,939,2021
00138279,35.0,2021
00155355,18,2021
00190321,672,2021
00181712,167,2021
00266961,152,2021
00124504,36,2021
00631518,68,2021
00113410,152,2021
00117212,23,2021
00109693,10,2021
00146083,6,2021
00160047,39.0,2021
00113508,1.0,2021
00116824,0.0,2021
00164779,79,2021
00164478,2117,2021
00160588,148,2021
00160843,25,2021
00148540,6,2021
00120076,10,2021
00113207,17.0,2021
00121941,584,2021
00131780,73,2021
00117577,1.0,2021
00163512,137.0,2021
00161046,42,2021
00154462,1.0,2021
00117230,83,2021
00126955,69,2021
00138224,112,2021
00113526,232.0,2021
00120021,3,2021
00157681,39,2021
00145880,410,2021
00171636,1.0,2021
00136378,3,2021
00125743,7,2021
00157399,32,2021
00117188,96.0,2021
00120562,5,2021
00124726,183,2021
00120571,427,2021
00164742,5980,2021
00131832,14,2021
00105952,4.0,2021
00120030,1488,2021
00126362,928,2021
00140177,1139.0,2021
00141529,59,2021
00109189,0.0,2021
00165680,450,2021
00161426,1.0,2021
00126371,544.0,2021
00136086,21.0,2021
00161693,49.0,2021
00119007,2.0,2021
00162461,183.0,2021
00140964,9,2021
00148896,134.0,2021
00105855,129,2021
00103626,2.0,2021
00164609,50,2021
00105961,4416,2021
00165413,150,2021
00164645,120,2021
00106623,83.0,2021
00164812,8,2021
00139889,6,2021
00164788,452,2021
00126566,35,2021
00158501,283,2021
00140955,98.0,2021
00159023,297,2021
00164724,129,2021
00139454,54.0,2021
00126186,74.0,2021
00144164,51,2021
00188089,116,2021
00170558,141,2021
00120526,111.0,2021
00203582,5,2021
00219097,6.0,2021
00126308,1259,2021
00149655,2198.0,2021
00234412,73,2021
00274933,85,2021
00231363,236,2021
00244455,199,2021
00255619,268.0,2021
00258801,169,2021
00261443,330,2021
00260408,4.0,2021
00220561,0.0,2021
00160232,2.0,2021
00124540,1739,2021
00309503,896,2021
00356370,8.0,2021
00349097,0.0,2021
00413523,450,2021
00412597,29,2021
00372882,2357,2021
00372873,796,2021
00302926,272.0,2021
00401731,2468,2021
00201450,85,2021
00428251,0.0,2021
00159698,1.0,2021
00158307,110,2021
00500254,13,2021
00303873,565,2021
00300548,39,2021
00503668,139.0,2021
00362238,33,2021
00195229,6.0,2021
00361008,13,2021
00539274,1.0,2021
00360595,250,2021
00583442,15,2021
00583424,298,2021
00635134,77,2021
00759513,114.0,2021
00795135,198,2021
00828497,127,2021
00872984,0.0,2021
00896285,67,2021
00956930,6,2021
00983040,1,2021
00992871,56,2021
01009789,12,2021
01032413,406,2021
01036446,3,2021
00877059,532,2021
00508344,20,2021
01060744,16,2021
00565154,31,2021
01168383,30,2021
01208885,32,2021
01238169,16.0,2021
00339391,190,2021
01263022,524,2021
01267170,150,2021
01262032,107,2021
01316236,162,2021
01316227,122.0,2021
01316245,408.0,2021
01316254,36,2021
00362441,45.0,2021
00148364,0.0,2021
00265324,22.0,2021
00260958,36,2021
00228536,32,2021
00127954,112.0,2021
00347062,1.0,2021
00871833,76.0,2021
00126937,49,2021
00150244,143,2021
00145109,29,2021
00148993,0.0,2021
00129387,50,2021
00109286,471,2021
00104768,22.0,2021
00163691,1.0,2021
00114792,111.0,2021
00138190,13,2021
00149354,1.0,2021
00128971,349,2021
00138701,0.0,2021
00114552,468.0,2021
00103006,48,2021
00173874,73.0,2021
00105271,205,2021
00132211,30,2021
00124197,1.0,2021
00146269,13,2021
00153393,144.0,2021
00162993,0.0,2021
00141149,6,2021
00113544,5,2021
00107598,122.0,2021
00109718,29,2021
00157991,0.0,2021
00108241,140,2021
00127802,1.0,2021
00130879,18,2021
00128555,19.0,2021
00118266,2,2021
00132804,8,2021
00125150,3.0,2021
00108135,3,2021
00125530,89,2021
00167192,128,2021
00125521,484,2021
00126380,1234,2021
00166227,0.0,2021
00129679,94,2021
00164672,1.0,2021
00125080,1.0,2021
00124799,299.0,2021
00107613,18,2021
00126487,0.0,2021
00163114,0.0,2021
00140946,23,2021
00153861,593.0,2021
00101488,249,2021
00126478,133,2021
00166315,81,2021
00115977,72.0,2021
00106368,74.0,2021
00102618,0.0,2021
00143527,0.0,2021
00164636,0.0,2021
00166272,2.0,2021
00159786,16.0,2021
00105101,0.0,2021
00159193,126,2021
00130684,24,2021
00165583,13,2021
00159795,8,2021
00161125,147,2021
00133991,10.0,2021
00108913,86.0,2021
00176914,15.0,2021
00203290,0.0,2021
00122737,314,2021
00148276,25,2021
00105873,88,2021
00217947,192,2021
00158316,3,2021
00219486,5.0,2021
00261285,0.0,2021
00225159,0.0,2021
00222532,5,2021
00219574,0.0,2021
00340917,126,2021
00356361,282,2021
00159209,190,2021
00256955,2,2021
00377610,3,2021
00390055,0.0,2021
00413046,123,2021
00459871,0.0,2021
00481454,50,2021
00480455,18,2021
00400857,11,2021
00357935,3.0,2021
00555874,161,2021
00595191,4.0,2021
00414850,1173,2021
00628189,500,2021
00679314,4,2021
00684714,485,2021
00776820,55,2021
00557508,4,2021
00194947,440,2021
00855093,10,2021
00241005,7,2021
00937324,183,2021
00939331,0.0,2021
00939687,33.0,2021
00983271,25,2021
00990165,8,2021
00101664,3.0,2021
00911955,2,2021
01108099,2.0,2021
01032486,5,2021
01128613,0.0,2021
00904672,30,2021
00653024,63.0,2021
01060814,10,2021
01319808,7,2021
01325979,26,2021
00118804,23,2021
00158325,264,2021
00252135,4,2021
00223762,16,2021
00130763,79,2021
00298270,18,2021
00358271,57,2021
00398701,0.0,2021
00579980,2.0,2021
00536541,4,2021
00486097,23,2021
00447609,213,2021
00554024,5.0,2021
00579999,19,2021
00525934,35,2021
00857727,0.0,2021
00549891,14,2021
01135941,35,2021
01234507,110,2021
00119195,15,2021
00144818,5,2021
00111847,8,2021
00148984,57,2021
00128032,12,2021
00149026,0.0,2021
00151395,0.0,2021
00166519,14.0,2021
00100939,64,2021
00144252,0.0,2021
00134723,0.0,2021
00149947,45,2021
00113243,18.0,2021
00106395,0.0,2021
00122472,5,2021
00122579,29,2021
00113234,21.0,2021
00159740,0.0,2021
00152862,0.0,2021
00101433,11,2021
00127042,0.0,2021
00158112,0.0,2021
00138729,8,2021
00136457,1.0,2021
00174527,75,2021
00148443,0.0,2021
00117300,1.0,2021
00104722,12,2021
00127167,1.0,2021
00158149,2,2021
00165343,2.0,2021
00152880,861.0,2021
00132725,9,2021
00111810,8,2021
00118275,0.0,2021
00111999,26,2021
00163673,1.0,2021
00164706,8.0,2021
00133812,62,2021
00109806,13.0,2021
00129235,12.0,2021
00133858,216,2021
00113492,8.0,2021
00172936,25,2021
00148920,19,2021
00129989,23.0,2021
00163716,0.0,2021
00168331,0.0,2021
00121288,7,2021
00160302,5,2021
00156691,55.0,2021
00128412,11,2021
00127200,23,2021
00145163,1.0,2021
00153126,29,2021
00155531,36,2021
00143794,0.0,2021
00111421,13,2021
00113535,16,2021
00145552,27,2021
00118026,34.0,2021
00126779,38,2021
00159254,0.0,2021
00108977,9.0,2021
00159810,13.0,2021
00260383,12.0,2021
00141404,3.0,2021
00122898,9.0,2021
00124090,8,2021
00130091,0.0,2021
00104388,2.0,2021
00152686,211,2021
00154329,13,2021
00137252,11,2021
00131692,0.0,2021
00145260,27.0,2021
00103042,37.0,2021
00138260,32,2021
00136864,72.0,2021
00103592,31,2021
00153621,2.0,2021
00162586,8,2021
00159971,0.0,2021
00151128,1.0,2021
00160205,0.0,2021
00102858,102.0,2021
00141273,0.0,2021
00155124,0.0,2021
00139764,0.0,2021
00129013,36,2021
00137207,0.0,2021
00138297,3,2021
00136271,10,2021
00163345,57,2021
00141477,46.0,2021
00172291,24,2021
00173102,7,2021
00146232,79,2021
00117179,1.0,2021
00140779,0.0,2021
00105156,2.0,2021
00124780,0.0,2021
00132637,35.0,2021
00112679,2.0,2021
00153339,0.0,2021
00113614,8,2021
00161976,2,2021
00166573,29,2021
00108940,0.0,2021
00119672,18.0,2021
00161709,7,2021
00143651,177,2021
00121039,10.0,2021
00142883,12.0,2021
00152729,27,2021
00149239,47,2021
00137359,9.0,2021
00118965,25,2021
00140131,0.0,2021
00198697,0.0,2021
00131197,0.0,2021
00121534,3,2021
00159500,437,2021
00112022,0.0,2021
00181943,0.0,2021
00145464,46.0,2021
00107987,24.0,2021
00133706,0.0,2021
00209780,8,2021
00231372,17,2021
00158963,0.0,2021
00134510,10,2021
00121543,181,2021
00130772,30.0,2021
00129642,17,2021
00369833,0.0,2021
00303217,0.0,2021
00159218,227,2021
00353878,9.0,2021
00398792,28,2021
00428729,0.0,2021
00435312,8,2021
00210856,29,2021
00406046,8,2021
00414601,0.0,2021
00454946,3.0,2021
00113225,4,2021
00540641,12,2021
00409672,17.0,2021
00573579,81.0,2021
00671376,118,2021
00589127,48,2021
00587466,0.0,2021
00117726,38,2021
00593032,87,2021
00365387,9,2021
00632304,6,2021
00520887,62,2021
00648721,0.0,2021
00428321,29,2021
00145598,7,2021
00687711,0.0,2021
00728638,0.0,2021
00173944,4,2021
00753643,0.0,2021
00670340,3,2021
00787376,7.0,2021
00360142,24,2021
00823429,0.0,2021
00815369,0.0,2021
00151368,10,2021
00661847,15,2021
00119140,6,2021
00526599,28,2021
00110608,0.0,2021
01010110,7,2021
00132354,2,2021
01059605,76,2021
01093007,0.0,2021
00225706,21,2021
01167056,108,2021
01205329,110,2021
01261893,17,2021
01267684,150,2021
00248974,56.0,2021
01310269,760,2021
00367844,2037,2021
01412822,8.0,2021
00128111,70,2021
00141671,17,2021
00216647,92,2021
00238782,6.0,2021
00226352,0.0,2021
00171265,42.0,2021
00258689,6,2021
00247975,15,2021
00239639,2.0,2021
00260930,28,2021
00187415,2.0,2021
00280688,11,2021
00369170,112,2021
00306454,6.0,2021
00353610,18,2021
00228350,0.0,2021
00225742,1.0,2021
00364467,20,2021
00378628,8,2021
00245472,6.0,2021
00399694,26,2021
00405320,10,2021
00104573,14.0,2021
00476498,89,2021
00177816,1.0,2021
00531014,0.0,2021
00359395,4,2021
00490151,0.0,2021
00524421,0.0,2021
00525642,20,2021
00444329,16,2021
00613318,16,2021
00612294,0.0,2021
00888347,22,2021
00366137,1.0,2021
01032404,16,2021
01061327,0.0,2021
00970453,6,2021
01067516,13,2021
00819073,49,2021
01159853,21,2021
01160363,50,2021
01168684,19,2021
01152470,141,2021
01237540,114,2021
01236532,0.0,2021
00897752,0.0,2021
01256864,0.0,2021
00112378,0.0,2021
00101628,44,2021
00133335,1.0,2021
00126089,29.0,2021
00141307,17.0,2021
00104698,9,2021
00145686,14,2021
00123541,20,2021
00147222,0.0,2021
00159573,0.0,2021
00112970,24,2021
00120872,0.0,2021
00107066,318,2021
00126414,3,2021
00152039,5.0,2021
00101220,12,2021
00154055,0.0,2021
00125974,27,2021
00117337,66,2021
00118345,28,2021
00148948,1,2021
00148461,3.0,2021
00106119,0.0,2021
00114765,5.0,2021
00117027,7.0,2021
00129350,6,2021
00102751,7.0,2021
00116268,17,2021
00163196,11,2021
00122694,31.0,2021
00133618,0.0,2021
00127857,2.0,2021
00149345,12,2021
00141626,0.0,2021
00118451,0.0,2021
00173698,15,2021
00123107,0.0,2021
00150828,144,2021
00121932,0.0,2021
00149804,9.0,2021
00174004,13,2021
00106313,370,2021
00123718,28,2021
00146214,1.0,2021
00160621,0.0,2021
00154426,6,2021
00122348,0.0,2021
00122056,0.0,2021
00161860,363.0,2021
00133511,2.0,2021
00115287,35.0,2021
00108038,23,2021
00172185,0.0,2021
00134963,5,2021
00148939,0.0,2021
00135050,21,2021
00138057,0.0,2021
00114093,11.0,2021
00109514,3.0,2021
00127158,0.0,2021
00162063,262,2021
00135962,384.0,2021
00156488,29,2021
00124151,25,2021
00136341,134.0,2021
00109754,23.0,2021
00136624,3.0,2021
00115612,325,2021
00141875,152,2021
00260392,0.0,2021
00122825,0.0,2021
00109824,21.0,2021
00126201,30,2021
00136402,0.0,2021
00109161,20.0,2021
00146296,20,2021
00104786,3.0,2021
00146454,4,2021
00115384,11,2021
00131939,0.0,2021
00157104,6,2021
00145446,7,2021
00107224,1.0,2021
00121570,0.0,2021
00146542,0.0,2021
00104999,14.0,2021
